TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1582076304303	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076304298229000.png
1582076304425	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076304424998000.png
1582076304554	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076304554434000.png
1582076304682	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076304682061000.png
1582076304836	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076304836295000.png
1582076304968	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076304967868000.png
1582076305096	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076305096387000.png
1582076305225	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076305224950000.png
1582076305352	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076305352600000.png
1582076305479	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076305479796000.png
1582076305612	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076305612574000.png
1582076305739	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076305739648000.png
1582076305867	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076305867045000.png
1582076306000	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076306000164000.png
1582076306128	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076306127900000.png
1582076306255	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076306254953000.png
1582076306384	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076306384282000.png
1582076306517	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076306517073000.png
1582076306646	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076306646551000.png
1582076306773	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076306772852000.png
1582076306910	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076306910656000.png
1582076307040	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076307040729000.png
1582076307167	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076307167546000.png
1582076307296	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076307296056000.png
1582076307429	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076307428962000.png
1582076307557	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076307556970000.png
1582076307684	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076307684123000.png
1582076307812	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076307812733000.png
1582076307943	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076307942907000.png
1582076308071	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076308071362000.png
1582076308171	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076308170905000.png
1582076308306	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076308306845000.png
1582076308439	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076308439383000.png
1582076308571	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076308571529000.png
1582076308703	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076308702891000.png
1582076308837	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076308837465000.png
1582076308837	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076308837615000.png
1582076309011	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076309011824000.png
1582076309142	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076309142456000.png
1582076309272	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076309272261000.png
1582076309398	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076309398496000.png
1582076309537	0.072786	0.071174	0.380501	0.995997	0.000000	0.000000	0.089385	img__0_1582076309537889000.png
